id_enfermedad,id_region,fecha_fin_semana,casos_confirmados,defunciones,tasa_incidencia,riesgo_brote_target,fecha_carga
1,7,2000-06-30,2,0,0.0333,0,2025-12-10
1,16,2000-06-30,4,0,0.0804,0,2025-12-10
1,20,2000-06-30,2,0,0.0451,0,2025-12-10
1,23,2000-06-30,2,0,0.1005,0,2025-12-10
1,26,2000-06-30,4,0,0.1268,0,2025-12-10
1,28,2000-06-30,1,0,0.0272,0,2025-12-10
1,30,2000-06-30,14,0,0.1578,0,2025-12-10
1,7,2000-07-07,0,0,0.0,0,2025-12-10
1,20,2000-07-07,12,0,0.2707,0,2025-12-10
1,21,2000-07-07,1,0,0.0145,0,2025-12-10
1,26,2000-07-07,14,0,0.4439,0,2025-12-10
1,30,2000-07-07,43,0,0.4847,0,2025-12-10
1,7,2000-07-14,0,0,0.0,0,2025-12-10
1,20,2000-07-14,12,0,0.2707,0,2025-12-10
1,21,2000-07-14,1,0,0.0145,0,2025-12-10
1,26,2000-07-14,14,0,0.4439,0,2025-12-10
1,30,2000-07-14,43,0,0.4847,0,2025-12-10
1,7,2000-07-21,0,0,0.0,0,2025-12-10
1,20,2000-07-21,12,0,0.2707,0,2025-12-10
1,21,2000-07-21,1,0,0.0145,0,2025-12-10
1,26,2000-07-21,14,0,0.4439,0,2025-12-10
1,30,2000-07-21,43,0,0.4847,0,2025-12-10
1,7,2000-07-31,2,0,0.0333,0,2025-12-10
1,20,2000-07-31,11,0,0.2481,0,2025-12-10
1,21,2000-07-31,0,0,0.0,0,2025-12-10
1,26,2000-07-31,12,0,0.3805,0,2025-12-10
1,30,2000-07-31,42,0,0.4734,0,2025-12-10
1,7,2000-08-07,2,0,0.0333,0,2025-12-10
1,10,2000-08-07,0,0,0.0,0,2025-12-10
1,12,2000-08-07,0,0,0.0,0,2025-12-10
1,19,2000-08-07,2,0,0.0321,0,2025-12-10
1,20,2000-08-07,19,0,0.4286,0,2025-12-10
1,21,2000-08-07,8,0,0.1162,0,2025-12-10
1,26,2000-08-07,10,0,0.317,0,2025-12-10
1,28,2000-08-07,3,0,0.0815,0,2025-12-10
1,30,2000-08-07,14,0,0.1578,0,2025-12-10
1,7,2000-08-14,2,0,0.0333,0,2025-12-10
1,10,2000-08-14,0,0,0.0,0,2025-12-10
1,12,2000-08-14,0,0,0.0,0,2025-12-10
1,19,2000-08-14,2,0,0.0321,0,2025-12-10
1,20,2000-08-14,19,0,0.4286,0,2025-12-10
1,21,2000-08-14,8,0,0.1162,0,2025-12-10
1,26,2000-08-14,10,0,0.317,0,2025-12-10
1,28,2000-08-14,3,0,0.0815,0,2025-12-10
1,30,2000-08-14,14,0,0.1578,0,2025-12-10
1,7,2000-08-21,2,0,0.0333,0,2025-12-10
1,10,2000-08-21,0,0,0.0,0,2025-12-10
1,12,2000-08-21,0,0,0.0,0,2025-12-10
1,19,2000-08-21,2,0,0.0321,0,2025-12-10
1,20,2000-08-21,19,0,0.4286,0,2025-12-10
1,21,2000-08-21,8,0,0.1162,0,2025-12-10
1,26,2000-08-21,10,0,0.317,0,2025-12-10
1,28,2000-08-21,3,0,0.0815,0,2025-12-10
1,30,2000-08-21,14,0,0.1578,0,2025-12-10
1,7,2000-08-31,4,0,0.0667,0,2025-12-10
1,10,2000-08-31,1,0,0.0523,0,2025-12-10
1,12,2000-08-31,1,0,0.0269,0,2025-12-10
1,19,2000-08-31,4,0,0.0642,0,2025-12-10
1,20,2000-08-31,18,0,0.4061,0,2025-12-10
1,21,2000-08-31,8,0,0.1162,0,2025-12-10
1,26,2000-08-31,9,0,0.2853,0,2025-12-10
1,28,2000-08-31,3,0,0.0815,0,2025-12-10
1,30,2000-08-31,16,0,0.1804,0,2025-12-10
1,7,2000-09-07,9,0,0.15,0,2025-12-10
1,12,2000-09-07,0,0,0.0,0,2025-12-10
1,19,2000-09-07,1,0,0.016,0,2025-12-10
1,20,2000-09-07,9,0,0.203,0,2025-12-10
1,21,2000-09-07,2,0,0.029,0,2025-12-10
1,26,2000-09-07,16,0,0.5073,0,2025-12-10
1,28,2000-09-07,22,0,0.5974,0,2025-12-10
1,30,2000-09-07,39,0,0.4396,0,2025-12-10
1,7,2000-09-14,9,0,0.15,0,2025-12-10
1,12,2000-09-14,0,0,0.0,0,2025-12-10
1,19,2000-09-14,1,0,0.016,0,2025-12-10
1,20,2000-09-14,9,0,0.203,0,2025-12-10
1,21,2000-09-14,2,0,0.029,0,2025-12-10
1,26,2000-09-14,16,0,0.5073,0,2025-12-10
1,28,2000-09-14,22,0,0.5974,0,2025-12-10
1,30,2000-09-14,39,0,0.4396,0,2025-12-10
1,7,2000-09-21,9,0,0.15,0,2025-12-10
1,12,2000-09-21,0,0,0.0,0,2025-12-10
1,19,2000-09-21,1,0,0.016,0,2025-12-10
1,20,2000-09-21,9,0,0.203,0,2025-12-10
1,21,2000-09-21,2,0,0.029,0,2025-12-10
1,26,2000-09-21,16,0,0.5073,0,2025-12-10
1,28,2000-09-21,22,0,0.5974,0,2025-12-10
1,30,2000-09-21,39,0,0.4396,0,2025-12-10
1,7,2000-09-30,10,0,0.1667,0,2025-12-10
1,12,2000-09-30,1,0,0.0269,0,2025-12-10
1,19,2000-09-30,0,0,0.0,0,2025-12-10
1,20,2000-09-30,8,0,0.1805,0,2025-12-10
1,21,2000-09-30,1,0,0.0145,0,2025-12-10
1,26,2000-09-30,17,0,0.539,0,2025-12-10
1,28,2000-09-30,20,0,0.5431,0,2025-12-10
1,30,2000-09-30,39,0,0.4396,0,2025-12-10
1,3,2000-10-07,0,0,0.0,0,2025-12-10
1,4,2000-10-07,0,0,0.0,0,2025-12-10
1,7,2000-10-07,28,0,0.4667,0,2025-12-10
1,9,2000-10-07,0,0,0.0,0,2025-12-10
1,12,2000-10-07,0,0,0.0,0,2025-12-10
1,19,2000-10-07,1,0,0.016,0,2025-12-10
1,20,2000-10-07,2,0,0.0451,0,2025-12-10
1,21,2000-10-07,1,0,0.0145,0,2025-12-10
1,25,2000-10-07,1,0,0.0305,0,2025-12-10
1,26,2000-10-07,24,0,0.7609,0,2025-12-10
1,27,2000-10-07,0,0,0.0,0,2025-12-10
1,28,2000-10-07,11,0,0.2987,0,2025-12-10
1,30,2000-10-07,14,0,0.1578,0,2025-12-10
1,3,2000-10-14,0,0,0.0,0,2025-12-10
1,4,2000-10-14,0,0,0.0,0,2025-12-10
1,7,2000-10-14,28,0,0.4667,0,2025-12-10
