FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-02-01,452,112.37026388245914,339.62973611754086,469.1675541752571,17.167554175257123
2024-02-02,457,123.39424142930255,333.60575857069745,466.1834690926478,9.183469092647783
2024-02-03,468,134.41821897614597,333.58178102385403,463.3250168587331,4.674983141266921
2024-02-04,474,145.44219652298932,328.5578034770107,460.592197473513,13.40780252648699
2024-02-05,538,156.46617406983273,381.53382593016727,457.98501093698763,80.01498906301237
2024-02-06,550,167.49015161667614,382.50984838332386,455.5034572491569,94.4965427508431
2024-02-07,497,178.51412916351956,318.48587083648044,453.14753641002073,43.852463589979266
2024-02-08,460,189.5381067103629,270.4618932896371,450.91724841957927,9.082751580420734
2024-02-09,463,200.56208425720632,262.4379157427937,448.81259327783243,14.187406722167566
2024-02-10,569,211.58606180404973,357.41393819595027,446.83357098478024,122.16642901521976
2024-02-11,490,222.61003935089315,267.38996064910685,444.9801815404227,45.01981845957732
2024-02-12,564,233.63401689773656,330.36598310226344,443.2524249447597,120.7475750552403
2024-02-13,421,244.6579944445799,176.3420055554201,441.65030119779146,20.650301197791464
2024-02-14,421,255.68197199142332,165.31802800857668,440.1738102995178,19.17381029951781
2024-02-15,365,266.70594953826674,98.29405046173326,438.8229522499389,73.82295224993891
2024-02-16,383,277.72992708511015,105.27007291488985,437.59772704905447,54.59772704905447
2024-02-17,433,288.75390463195356,144.24609536804644,436.49813469686484,3.498134696864838
2024-02-18,494,299.777882178797,194.22211782120303,435.52417519336973,58.47582480663027
2024-02-19,614,310.8018597256404,303.1981402743596,434.67584853856937,179.32415146143063
2024-02-20,524,321.8258372724837,202.17416272751632,433.95315473246353,90.04684526753647
2024-02-21,425,332.8498148193271,92.1501851806729,433.35609377505244,8.356093775052443
2024-02-22,453,343.8737923661705,109.1262076338295,432.88466566633593,20.115334333664066
2024-02-23,410,354.8977699130139,55.10223008698608,432.53887040631406,22.53887040631406
2024-02-24,456,365.92174745985733,90.07825254014267,432.3187079949869,23.68129200501312
2024-02-25,525,376.94572500670074,148.05427499329926,432.2241784323543,92.77582156764572
2024-02-26,573,387.96970255354415,185.03029744645585,432.2552817184164,140.74471828158357
2024-02-27,520,398.99368010038756,121.00631989961244,432.4120178531731,87.5879821468269
2024-02-28,508,410.017657647231,97.98234235276902,432.6943868366245,75.30561316337548
2024-02-29,445,421.0416351940743,23.958364805925726,433.10238866877046,11.897611331229541
2024-03-01,559,432.0656127409177,126.93438725908231,433.63602334961115,125.36397665038885
2024-03-02,538,443.0895902877611,94.9104097122389,434.2952908791464,103.70470912085358
2024-03-03,601,454.1135678346045,146.8864321653955,435.0801912573764,165.91980874262362
2024-03-04,643,465.1375453814479,177.86245461855208,435.9907244843009,207.00927551569907
2024-03-05,539,476.16152292829133,62.83847707170867,437.0268905599201,101.9731094400799
2024-03-06,499,487.18550047513475,11.814499524865255,438.18868948423403,60.81131051576597
